tax_class	tier	subtier	count
Orbiliomycetes	high_confidence_non_cazyme	3_zero_hits	4808
Pezizomycetes	gray_zone	2A_gray_high	35816
Pezizomycetes	gray_zone	2B_gray_low	29840
Pezizomycetes	high_confidence_cazyme	1A_all_tools_agree	20523
Pezizomycetes	high_confidence_cazyme	1B_two_tools_agree	2381
Pezizomycetes	high_confidence_non_cazyme	3_zero_hits	721431
Pucciniomycotina	gray_zone	2A_gray_high	17114
Pucciniomycotina	gray_zone	2B_gray_low	17316
Pucciniomycotina	high_confidence_cazyme	1A_all_tools_agree	12169
Pucciniomycotina	high_confidence_cazyme	1B_two_tools_agree	2729
Pucciniomycotina	high_confidence_non_cazyme	3_zero_hits	617058
Saccharomycotina	gray_zone	2A_gray_high	35417
Saccharomycotina	gray_zone	2B_gray_low	39595
Saccharomycotina	high_confidence_cazyme	1A_all_tools_agree	17647
Saccharomycotina	high_confidence_cazyme	1B_two_tools_agree	1748
Saccharomycotina	high_confidence_non_cazyme	3_zero_hits	885015
Sordariomycetes	gray_zone	2A_gray_high	553313
Sordariomycetes	gray_zone	2B_gray_low	350968
Sordariomycetes	high_confidence_cazyme	1A_all_tools_agree	254761
Sordariomycetes	high_confidence_cazyme	1B_two_tools_agree	35694
Sordariomycetes	high_confidence_non_cazyme	3_zero_hits	5690884
Taphrinomycotina	gray_zone	2A_gray_high	1903
Taphrinomycotina	gray_zone	2B_gray_low	2100
Taphrinomycotina	high_confidence_cazyme	1A_all_tools_agree	749
Taphrinomycotina	high_confidence_cazyme	1B_two_tools_agree	123
Taphrinomycotina	high_confidence_non_cazyme	3_zero_hits	32744
Tremellomycetes	gray_zone	2A_gray_high	7980
Tremellomycetes	gray_zone	2B_gray_low	8537
Tremellomycetes	high_confidence_cazyme	1A_all_tools_agree	5016
Tremellomycetes	high_confidence_cazyme	1B_two_tools_agree	981
Tremellomycetes	high_confidence_non_cazyme	3_zero_hits	177504
Ustilaginomycotina	gray_zone	2A_gray_high	7399
Ustilaginomycotina	gray_zone	2B_gray_low	8132
Ustilaginomycotina	high_confidence_cazyme	1A_all_tools_agree	3999
Ustilaginomycotina	high_confidence_cazyme	1B_two_tools_agree	1141
Ustilaginomycotina	high_confidence_non_cazyme	3_zero_hits	172169
Wallemiomycetes	gray_zone	2A_gray_high	255
Wallemiomycetes	gray_zone	2B_gray_low	265
Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	112
Wallemiomycetes	high_confidence_cazyme	1B_two_tools_agree	12
Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	4640
Xylonomycetes	gray_zone	2A_gray_high	699
Xylonomycetes	gray_zone	2B_gray_low	466
Xylonomycetes	high_confidence_cazyme	1A_all_tools_agree	187
Xylonomycetes	high_confidence_cazyme	1B_two_tools_agree	19
Xylonomycetes	high_confidence_non_cazyme	3_zero_hits	6834
Zoopagomycotina	gray_zone	2A_gray_high	1252
Zoopagomycotina	gray_zone	2B_gray_low	1232
Zoopagomycotina	high_confidence_cazyme	1A_all_tools_agree	614
Zoopagomycotina	high_confidence_cazyme	1B_two_tools_agree	112
Zoopagomycotina	high_confidence_non_cazyme	3_zero_hits	36858
